district_no,year,Field_ha,Harvested_t,Yield_dt/ha,kreisYield,kreisField_ha,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,temp_mean_early_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,producer_price_index,fertilizer_price_index,energy_price_index
3351,2017,102600.0,8475800.0,826.2,81.07,10067.516327683954,352.4065,16.381344,0,15.830486,13374660.0,63.23971096729696,45.982047716891806,254.0,24.0,135.0,96.7,94.2,101.7
3351,2018,103400.0,7202700.0,696.3,69.04,10252.385451310663,103.2655,18.90065,14,17.583866,16591691.0,63.23971096729696,45.982047716891806,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3351,2019,103400.0,7668800.0,741.7,65.67,9155.01953733987,175.64899,17.828472,9,15.798734,14650579.0,63.23971096729696,45.982047716891806,258.0,15.0,121.0,90.0,102.65,110.55
3351,2020,99300.0,7861900.0,791.6,74.43,9336.658654198258,187.975,17.643023,6,15.017607,14570336.0,63.23971096729696,45.982047716891806,269.0,8.0,105.0,100.0,100.0,100.0
3351,2021,97600.0,7966100.0,816.2,77.86,9310.384698223002,205.612,17.334488,0,15.372673,13209849.0,63.23971096729696,45.982047716891806,257.0,22.0,129.0,105.1,114.25,118.325
3353,2017,102600.0,8475800.0,826.2,77.59,9635.359465461923,321.01788,16.03215,0,15.347108,13277800.0,47.83834153611925,52.692365997490334,254.0,24.0,135.0,96.7,94.2,101.7
3353,2018,103400.0,7202700.0,696.3,65.77,9766.79303494644,93.78369,18.334238,10,17.13388,16175608.0,47.83834153611925,52.692365997490334,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3353,2019,103400.0,7668800.0,741.7,68.87,9601.129823916503,207.13263,17.220142,6,15.210558,14438346.0,47.83834153611925,52.692365997490334,258.0,15.0,121.0,90.0,102.65,110.55
3353,2020,99300.0,7861900.0,791.6,76.9,9646.500745772486,181.62317,17.1389,7,14.721443,14543343.0,47.83834153611925,52.692365997490334,269.0,8.0,105.0,100.0,100.0,100.0
3353,2021,97600.0,7966100.0,816.2,68.08,8140.906630555124,209.02528,17.138037,0,14.840142,13448191.0,47.83834153611925,52.692365997490334,257.0,22.0,129.0,105.1,114.25,118.325
3354,2017,102600.0,8475800.0,826.2,85.53,10621.372536163917,303.17377,16.571764,0,15.810322,13473998.0,39.92315427805637,43.17562863257,254.0,24.0,135.0,96.7,94.2,101.7
3354,2018,103400.0,7202700.0,696.3,67.42,10011.816731277013,79.80937,19.074095,12,17.660925,16698017.0,39.92315427805637,43.17562863257,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3354,2019,103400.0,7668800.0,741.7,73.64,10266.112969844798,193.985,17.788877,9,16.113659,14517991.0,39.92315427805637,43.17562863257,258.0,15.0,121.0,90.0,102.65,110.55
3354,2020,99300.0,7861900.0,791.6,76.04,9538.620503362026,178.51564,17.707804,5,15.117446,14583107.0,39.92315427805637,43.17562863257,269.0,8.0,105.0,100.0,100.0,100.0
3354,2021,97600.0,7966100.0,816.2,79.16,9465.83679310728,193.91814,17.557178,0,15.662677,13331694.0,39.92315427805637,43.17562863257,257.0,22.0,129.0,105.1,114.25,118.325
3355,2017,102600.0,8475800.0,826.2,75.58,9385.751622626782,323.3328,16.261425,0,15.562355,13343737.0,38.40780862308837,48.089519521973926,254.0,24.0,135.0,96.7,94.2,101.7
3355,2018,103400.0,7202700.0,696.3,68.11,10114.28118610616,84.74944,18.713203,12,17.360193,16429867.0,38.40780862308837,48.089519521973926,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3355,2019,103400.0,7668800.0,741.7,76.38,10648.094902726041,202.59334,17.502949,7,15.677278,14421837.0,38.40780862308837,48.089519521973926,258.0,15.0,121.0,90.0,102.65,110.55
3355,2020,99300.0,7861900.0,791.6,75.45,9464.609639382756,177.94556,17.407482,5,14.904737,14598347.0,38.40780862308837,48.089519521973926,269.0,8.0,105.0,100.0,100.0,100.0
3355,2021,97600.0,7966100.0,816.2,77.89,9313.972054258795,192.58221,17.385769,0,15.244972,13376472.0,38.40780862308837,48.089519521973926,257.0,22.0,129.0,105.1,114.25,118.325
3357,2017,102600.0,8475800.0,826.2,88.53,10993.92155532084,301.60342,16.159714,0,15.484962,13360309.0,27.1948989674917,53.57489479719908,254.0,24.0,135.0,96.7,94.2,101.7
