district_no,r2,mae,avg_deviation,name,data_point_count,is_low_data
05958,-9.342665073221267,269.2442583465577,168.1766119003296,Hochsauerlandkreis,2,True
05962,-0.5224430231933956,62.973279724121106,178.80028915405273,Märkischer Kreis,6,True
05974,0.7311643372800497,41.25836064598777,141.95672752640465,Soest,22,False
05978,0.3305921262077508,60.98256340503693,132.68562605645923,Unna,18,False
06411,0.33625881975046157,45.62053829073905,120.63878769055009,Darmstadt,16,False
06414,0.424645489287915,59.111865236057945,127.92912498642417,Wiesbaden,17,False
06431,0.4239820396775188,69.61712770518135,125.1414440870285,Bergstraße,17,False
06432,0.3084878974374887,63.76721776008606,131.75942592796955,Darmstadt-Dieburg,22,False
06433,0.48798259210362105,64.38202967643737,131.30005622993815,Groß-Gerau,22,False
06434,0.16847087170699337,60.770192802349726,142.14504680179414,Hochtaunuskreis,21,False
06435,0.04995312479836245,62.5248419895172,127.83225615024567,Main-Kinzig-Kreis,20,False
06436,0.06311586367046673,73.58234957337378,121.63355237990618,Main-Taunus-Kreis,16,False
06437,0.25690743552880446,52.92835792914033,126.01430514454842,Odenwaldkreis,16,False
06438,0.25713874342595344,49.297273632049546,115.57057016293207,Offenbach,15,False
06439,-0.466358227435856,65.00313163220885,125.77689205110073,Rheingau-Taunus-Kreis,16,False
06440,0.4150110984118809,66.8146784129468,124.32968975197186,Wetteraukreis,22,False
06531,0.33207583189585455,64.21088828892935,127.38932714008149,Gießen,21,False
06532,0.2816530113086281,54.212776796817764,126.78502921760082,Lahn-Dill-Kreis,16,False
06533,0.1463978258029095,68.32327940702436,119.35199218988419,Limburg-Weilburg,16,False
06534,0.16545750332625309,64.12770068407059,122.1107451915741,Marburg-Biedenkopf,16,False
06535,0.47993156351967603,68.64444816875455,134.67368325889112,Vogelsbergkreis,20,False
06631,-0.32697410503048197,103.47356445312504,126.92946815490723,Fulda,11,False
06632,0.30896053245148813,70.96480791568754,118.09242513077334,Hersfeld-Rotenburg,16,False
06633,0.6449456852746829,52.455562410354645,132.4310975630175,Kassel,22,False
06634,0.4333856158910717,55.27966453812337,127.30405532094565,Schwalm-Eder-Kreis,22,False
06635,0.4695355963354926,53.869386103153246,132.69475183356553,Waldeck-Frankenberg,16,False
06636,0.10261791988862079,62.947956000241355,133.81585424461147,Werra-Meißner-Kreis,22,False
07131,-0.1747710038447563,134.17579287528991,119.92000102996826,Ahrweiler,4,True
07133,0.25555047923078067,73.60095243013822,130.968599319458,Bad Kreuznach,13,False
07135,-99.0,44.73625335693362,161.1608066558838,Cochem-Zell,1,True
07137,0.12823524570043887,74.40508690243678,137.9358647494089,Mayen-Koblenz,21,False
07138,-0.21224780750569994,29.982536398569703,114.32048479715984,Neuwied,3,True
07141,-185.57772960588508,77.67581658045447,102.19667371114095,Rhein-Lahn-Kreis,3,True
07231,-25.76352906596507,74.14006931304937,114.91240692138672,Bernkastel-Wittlich,3,True
07232,-99.0,35.810882568359375,150.92601013183594,Eifelkreis Bitburg-Prüm,1,True
07331,-0.06305054206123062,73.76235797882077,133.96824842149562,Alzey-Worms,22,False
07333,0.11701836734364524,91.15821470173924,129.6512716033242,Donnersbergkreis,22,False
07334,-0.2523347035699326,82.85101525230843,126.8914561231028,Germersheim,22,False
07335,-0.1985696702727502,119.45239347139996,110.06043434143066,Kaiserslautern,3,True
07336,-99.0,52.39537506103511,99.27117919921875,Kusel,1,True
07337,0.3840261125167551,56.43988470911981,132.44764997742394,Südliche Weinstraße,22,False
07338,0.024190093173230398,81.48944253319188,126.3342967786287,Rhein-Pfalz-Kreis,19,False
07339,-0.040749532025893265,90.60662793853066,131.72927336801183,Mainz-Bingen,22,False
07340,-0.12930411528434438,180.0061053276062,109.15644454956055,Südwestpfalz,2,True
08111,0.33632138906511455,69.60627388139564,138.50551628073057,Stuttgart,12,False
08115,0.4755940801230377,64.4880895438947,118.6804555842751,Böblingen,19,False
08116,-0.2005536287446521,41.69282256671359,110.86481577583722,Esslingen,7,True
08118,-0.06283103458773254,75.38800231868571,125.25342670353976,Ludwigsburg,22,False
08119,0.11209603104010357,63.423037694201746,123.36177147136016,Rems-Murr-Kreis,17,False
08125,0.07893552263348447,74.26943556590511,123.64596210284667,Heilbronn,22,False
08126,0.07843434071819333,80.64799435929817,131.09813302755356,Hohenlohekreis,22,False
08127,0.32549396043853673,41.992638034820565,117.43715121348698,Schwäbisch Hall,12,False
08128,0.0571121333559379,78.38507415424694,131.3274998746135,Main-Tauber-Kreis,22,False
08135,-0.3258055352143929,58.630956913630136,122.93890039126079,Heidenheim,6,True
08136,0.14502021310472146,34.744501815795886,116.60721616744995,Ostalbkreis,5,True
08215,0.14461430228800076,72.53572412696751,125.73969719084826,Karlsruhe,22,False
08216,-99.0,44.677975320816074,120.19770050048822,Rastatt,1,True
08225,0.20363953969015758,67.51079104938005,137.40642117199144,Neckar-Odenwald-Kreis,19,False
