year,district_no,kreisYield,Super_Ensemble_pred,Predicted_Best_Model,Prob_Hybrid_XGB,Prob_Native_Ensemble,Prob_Robust_Linear,Prob_Statistical_Trend,Prob_V31_Solar_Gated
2002,1060,479.5,534.000155586171,Statistical_Trend,0.3611355,0.022470446,0.14494498,0.46400967,0.0074393284
2003,1060,507.9,529.8726287337593,Robust_Linear,0.38316736,0.014705812,0.48541984,0.11018302,0.0065239966
2004,1060,553.3,523.587591980664,Robust_Linear,0.26143712,0.018785212,0.58739185,0.12473267,0.007653212
2005,1060,551.1,534.3222463450292,Statistical_Trend,0.26342833,0.06142609,0.2907065,0.3769651,0.0074739377
2006,1060,549.6,550.3410651332849,Hybrid_XGB,0.35383588,0.0508593,0.3064192,0.28161523,0.007270426
2007,1060,586.6,561.2541653155918,Robust_Linear,0.28575376,0.115838505,0.45136157,0.1373998,0.00964628
2008,1060,552.9,588.9813332844801,Statistical_Trend,0.100875095,0.13719785,0.05068391,0.3879672,0.32327598
2009,1060,667.9,574.0260630107032,Statistical_Trend,0.16787642,0.056961764,0.111977935,0.6563998,0.0067840843
2010,1060,568.4,590.2679278694803,Statistical_Trend,0.19188556,0.056897417,0.31594566,0.42786947,0.0074019087
2011,1060,714.8,617.6053054706033,Native_Ensemble,0.11942375,0.5753452,0.17630583,0.11518998,0.013735175
2012,1060,653.6,649.6832946527106,Native_Ensemble,0.21631327,0.4674096,0.2311016,0.078027494,0.007148033
2013,1060,606.1,675.0341688110681,Native_Ensemble,0.21375974,0.36061743,0.3358197,0.08202538,0.0077777584
2014,1060,820.7,708.0326966857126,V31_Solar_Gated,0.064312756,0.08389435,0.16376124,0.05888898,0.6291427
2015,1060,670.7,713.7047819644204,Robust_Linear,0.13765906,0.124082096,0.45903423,0.13409647,0.14512824
2016,1060,761.8,717.5962932890471,Hybrid_XGB,0.3022746,0.268607,0.26322693,0.15322746,0.012664073
2017,1060,783.0,744.4068125084095,Native_Ensemble,0.20776594,0.35440615,0.32443556,0.104998775,0.008393468
2018,1060,571.2,638.1853838465368,V31_Solar_Gated,0.20341414,0.06067059,0.14844868,0.05527088,0.5321957
2019,1060,877.1,759.042119773241,Robust_Linear,0.35602254,0.079754576,0.39750388,0.15631828,0.010400711
2020,1060,760.3,732.2807998116241,Statistical_Trend,0.270284,0.14064234,0.08167698,0.498575,0.008821681
2021,1060,828.4,783.1554212112648,Statistical_Trend,0.28652948,0.07314124,0.23906521,0.39158836,0.00967575
2022,1060,766.3,808.0585455555021,Native_Ensemble,0.2934449,0.33482125,0.298019,0.06626879,0.0074460176
2023,1060,816.3,804.650790785267,Hybrid_XGB,0.327585,0.21986286,0.27807072,0.16165377,0.012827579
2024,1060,808.3,808.1995760719855,Statistical_Trend,0.32864323,0.07465005,0.15875211,0.42808306,0.009871565
2000,1061,530.6,471.1141094985436,Statistical_Trend,0.0836582,0.011747475,0.17673892,0.6750239,0.052831415
2001,1061,510.8,508.16475678602677,Robust_Linear,0.17118801,0.014529687,0.59779835,0.20855501,0.007928972
2002,1061,462.5,521.9511584518389,Robust_Linear,0.3299252,0.024544986,0.3589153,0.27918103,0.007433465
2003,1061,442.1,516.708727501321,Statistical_Trend,0.24739632,0.018853063,0.28007388,0.4416578,0.012018866
2004,1061,535.9,494.8576580856685,Robust_Linear,0.15587571,0.018443601,0.5244149,0.29341057,0.007855233
2005,1061,555.7,509.1959080326075,Robust_Linear,0.29808608,0.22548696,0.37171155,0.095541365,0.009174104
2006,1061,554.2,531.1833410047045,Native_Ensemble,0.17092453,0.41789106,0.30621183,0.098048165,0.006924345
2007,1061,544.4,560.6060356441818,Native_Ensemble,0.2758358,0.30613133,0.21675523,0.07910451,0.12217312
2008,1061,557.4,554.8921925905024,Native_Ensemble,0.13701779,0.4318618,0.050511267,0.37240842,0.008200714
2009,1061,581.3,567.58169954695,Statistical_Trend,0.21488592,0.041341323,0.23413205,0.5036357,0.006005008
2010,1061,538.7,567.6656742364686,Robust_Linear,0.13203515,0.3241531,0.3943648,0.14263326,0.0068137487
2011,1061,647.3,578.1614882601203,Robust_Linear,0.2954672,0.18537022,0.4040773,0.100288995,0.014796281
2012,1061,571.7,601.3651780520971,Robust_Linear,0.22380288,0.21352918,0.4326669,0.12158102,0.008420064
2013,1061,630.9,611.5350920062593,Native_Ensemble,0.19630648,0.5094116,0.23250768,0.05594615,0.005828194
2014,1061,764.3,653.2605587820209,V31_Solar_Gated,0.06487492,0.071617045,0.056169108,0.07294305,0.7343959
2015,1061,690.1,672.6567835730795,Robust_Linear,0.16785677,0.26481494,0.4453096,0.10352396,0.01849475
2016,1061,735.5,677.932792005083,Native_Ensemble,0.24813321,0.3297552,0.28737664,0.12279288,0.01194199
2017,1061,727.0,721.8041775630504,Robust_Linear,0.29574615,0.076398775,0.4202363,0.19876525,0.008853516
2018,1061,658.6,641.4189055501366,V31_Solar_Gated,0.20677938,0.08336616,0.14978446,0.03672649,0.5233435
2019,1061,826.3,728.0017463860803,Robust_Linear,0.2257632,0.07688417,0.39818832,0.29040363,0.008760686
2020,1061,792.0,753.1761976358215,Hybrid_XGB,0.30433977,0.29597443,0.24313916,0.14515723,0.011389412
2021,1061,764.6,767.9883700167069,Robust_Linear,0.29491964,0.22249576,0.35739002,0.1143129,0.010881754
2022,1061,673.5,795.8128927480084,Robust_Linear,0.22359937,0.28618675,0.38059148,0.100960605,0.008661787
