district_no,year,kreisYield,name,predicted_yield_lower,predicted_yield_median,predicted_yield_upper,error,abs_error,is_outside_interval,outlier_magnitude
03454,2019,606.8,Emsland,678.3489505004883,822.2554370117188,945.8583117675781,215.4554370117188,215.4554370117188,True,-71.54895050048833
09572,2016,482.0,Erlangen-Höchstadt,540.6707931518555,696.7036415100098,787.7099395751953,214.7036415100098,214.7036415100098,True,-58.67079315185549
14625,2018,526.5,Bautzen,594.4910290527343,740.3695957946777,850.439912109375,213.8695957946777,213.8695957946777,True,-67.99102905273435
09679,2018,601.8,Würzburg,712.2677163696289,814.9457648611069,973.119912109375,213.14576486110695,213.14576486110695,True,-110.46771636962899
05382,2016,554.4,Rhein-Sieg-Kreis,622.6307931518555,766.6307664489747,869.6699395751954,212.2307664489747,212.2307664489747,True,-68.23079315185555
15084,2019,563.3,Burgenlandkreis,638.3689505004883,775.3470579528808,905.8783117675781,212.0470579528809,212.0470579528809,True,-75.06895050048831
09183,2013,605.8,Mühldorf am Inn,685.8394458007813,817.5267131042481,913.5562274169922,211.72671310424812,211.72671310424812,True,-80.03944580078132
05554,2018,481.0,Borken,568.2510290527343,691.4548197174072,824.199912109375,210.4548197174072,210.4548197174072,True,-87.25102905273434
05558,2015,1030.0,Coesfeld,699.4685769653321,819.68601852417,937.9818444824219,-210.31398147583002,210.31398147583002,True,92.01815551757807
03452,2014,853.5,Aurich,514.5031549072266,643.8674089050294,744.8674584960938,-209.63259109497062,209.63259109497062,True,108.63254150390617
12068,2003,278.5,Ostprignitz-Ruppin,399.3927291870117,488.0948432922363,607.7924865722656,209.5948432922363,209.5948432922363,True,-120.8927291870117
15085,2019,518.9,Harz,586.8889505004884,727.8554383850098,854.3983117675782,208.95543838500987,208.95543838500987,True,-67.98895050048839
09161,2015,560.9,Ingolstadt,655.4588436889649,769.3585209655762,897.4018444824219,208.4585209655762,208.4585209655762,True,-94.55884368896488
03456,2011,728.4,Grafschaft Bentheim,400.9403451538086,520.2108605957031,622.4476007080078,-208.18913940429684,208.18913940429684,True,105.95239929199215
