district_no,year,yield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,pflanzliche_erzeugung_lag1,zuckerrben_lag1,dngemittel_lag1,pflanzenschutzmittel_lag1,saat_und_pflanzgut_lag1,energie_und_schmierstoffe_lag1,winter_temp_anomaly,winter_precip_anomaly
03358,2018,65.29,97.7944,18.581532,10,16401251.0,64.32476132692005,47.13149378999935,93.1,96.7,94.2,99.3,96.425,101.7,-0.9069635472532127,0.004069200502624604
03358,2019,68.44,193.342,17.51182,8,14541501.0,64.32476132692005,47.13149378999935,102.7,95.4,96.925,99.125,98.025,109.125,0.5867719568003622,-0.24843109888131565
03358,2020,79.94,188.34042,17.375055,7,14456608.0,64.32476132692005,47.13149378999935,101.9,90.0,102.65,99.1,100.5,110.55,0.7879491928857192,0.21957079967948823
03358,2021,76.3,218.5288,17.13233,0,13232086.0,64.32476132692005,47.13149378999935,100.0,100.0,100.0,100.025,100.025,100.0,-0.2551794787582935,-0.04217817985287042
03359,2018,70.55,103.94564,18.069891,9,16156640.0,12.13256251059729,61.57862618853422,93.1,96.7,94.2,99.3,96.425,101.7,-0.9597327142623726,0.04240274547796319
03359,2020,72.52,192.53438,17.02062,7,14621379.0,12.13256251059729,61.57862618853422,102.7,95.4,96.925,99.125,98.025,109.125,0.80190226406188,0.23143037283910384
03359,2021,70.71,234.91064,17.093616,0,13865551.0,12.13256251059729,61.57862618853422,100.0,100.0,100.0,100.025,100.025,100.0,-0.1926620309328655,-0.03153537977340215
03360,2018,74.95,86.76556,18.778963,12,16591469.0,71.241791440513,46.17268689394237,93.1,96.7,94.2,99.3,96.425,101.7,-0.9017700383232636,0.05278278680453519
03360,2019,68.97,193.1689,17.60585,9,14565293.0,71.241791440513,46.17268689394237,102.7,95.4,96.925,99.125,98.025,109.125,0.6219141512320334,-0.2892262008654781
03360,2020,73.71,186.24557,17.411285,6,14551780.0,71.241791440513,46.17268689394237,101.9,90.0,102.65,99.1,100.5,110.55,0.8508647598904417,0.22536932962459888
03360,2021,74.18,192.08224,17.260714,0,13225910.0,71.241791440513,46.17268689394237,100.0,100.0,100.0,100.025,100.025,100.0,-0.30562404491843154,-0.03670662917095924
03361,2018,62.93,99.51801,18.570826,10,16424051.0,20.634482190791463,51.58528505388986,93.1,96.7,94.2,99.3,96.425,101.7,-0.9022290745292594,-0.059198009327256385
03361,2019,66.48,202.764,17.65301,8,14531627.0,20.634482190791463,51.58528505388986,102.7,95.4,96.925,99.125,98.025,109.125,0.49915542633954146,-0.20812573935555634
03361,2020,83.17,188.88602,17.42895,7,14396177.0,20.634482190791463,51.58528505388986,101.9,90.0,102.65,99.1,100.5,110.55,0.7760221038843724,0.2219889744655743
03361,2021,87.29,235.34398,17.254505,0,13465715.0,20.634482190791463,51.58528505388986,100.0,100.0,100.0,100.025,100.025,100.0,-0.24352824486931013,-0.02045502253293663
03453,2021,76.41,266.204,17.187136,0,13883214.0,23.37155096682817,53.732832910953526,93.1,96.7,94.2,99.3,96.425,101.7,-0.1911176153656129,0.02747298804050935
03454,2019,60.68,210.51675,17.537304,7,14845139.0,21.883429345484306,56.02737782782792,102.7,95.4,96.925,99.125,98.025,109.125,0.4240562428285557,-0.17098642165657196
03454,2020,68.08,218.2905,17.236814,6,14137267.0,21.883429345484306,56.02737782782792,101.9,90.0,102.65,99.1,100.5,110.55,0.6041698087850023,0.1981120967656782
03454,2021,74.27,261.2325,17.085072,0,13987855.0,21.883429345484306,56.02737782782792,100.0,100.0,100.0,100.025,100.025,100.0,-0.2507783373528696,0.05441270683957944
03459,2018,74.87,108.491196,18.66738,11,16699275.0,74.81949659993606,51.725908423046015,93.1,96.7,94.2,99.3,96.425,101.7,-0.8898641303682098,-0.026947554365683857
03459,2019,87.25,206.962,17.683931,7,14937554.0,74.81949659993606,51.725908423046015,102.7,95.4,96.925,99.125,98.025,109.125,0.38455995914000596,-0.16959012752832414
03459,2020,83.5,196.8384,17.486021,7,14363834.0,74.81949659993606,51.725908423046015,101.9,90.0,102.65,99.1,100.5,110.55,0.5853541460449492,0.21999148492356646
03459,2021,79.08,254.794,17.071226,0,13870780.0,74.81949659993606,51.725908423046015,100.0,100.0,100.0,100.025,100.025,100.0,-0.22786583605864053,0.06741589057790054
05116,2019,81.48,197.06003,18.07935,6,15803306.0,67.46764971525674,41.93910841738373,102.7,95.4,96.925,99.125,98.025,109.125,0.24875529512524963,-0.15548364352768806
05116,2020,80.65,161.19,18.475744,11,15132314.0,67.46764971525674,41.93910841738373,101.9,90.0,102.65,99.1,100.5,110.55,0.43000512228798016,0.30243482095341356
05116,2021,83.61,323.25,17.186462,0,14266618.0,67.46764971525674,41.93910841738373,100.0,100.0,100.0,100.025,100.025,100.0,-0.09785661582083094,0.05120784169943304
05154,2018,66.15,116.459236,18.976862,9,17135412.0,25.55769146043866,43.19994338091747,93.1,96.7,94.2,99.3,96.425,101.7,-0.7546862610857374,-0.012687773909070277
05154,2019,75.28,209.67462,17.958036,6,15600818.0,25.55769146043866,43.19994338091747,102.7,95.4,96.925,99.125,98.025,109.125,0.20934685730617275,-0.19202770833109684
05154,2020,74.25,187.75768,18.030188,10,14924093.0,25.55769146043866,43.19994338091747,101.9,90.0,102.65,99.1,100.5,110.55,0.47364369023358677,0.22826210862571927
05154,2021,84.71,259.63,17.328062,0,14200711.0,25.55769146043866,43.19994338091747,100.0,100.0,100.0,100.025,100.025,100.0,-0.18821497176395496,0.08958594446515411
05162,2018,69.39,120.41,19.487045,10,17286078.0,52.37456553622641,42.423848760014735,93.1,96.7,94.2,99.3,96.425,101.7,-0.7635609111670192,-0.05205709470285447
05162,2019,79.62,199.13998,18.2511,7,15687651.0,52.37456553622641,42.423848760014735,102.7,95.4,96.925,99.125,98.025,109.125,0.2648960051784002,-0.15617718479332465
05162,2020,78.8,161.71,18.67703,11,15033988.0,52.37456553622641,42.423848760014735,101.9,90.0,102.65,99.1,100.5,110.55,0.4346835498332098,0.3088871287366375
