district_no,year,kreisYield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,Crop,Field_ha,Harvested_t,Yield_dt/ha,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,kreisField_ha,winter_temp_anomaly,winter_precip_anomaly
03158,2021,81.17,230.5418243408203,17.129989624023438,0.0,13754880.0,130.02412529590924,49.33051719467714,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9706.189647505282,-0.25839040934829427,0.0018244754353538006
03241,2017,85.45,357.01422119140625,16.545612335205078,0.0,13727951.0,65.35178068571408,44.86763110898455,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10611.437895653065,-2.16938495857994,-0.5748849244491643
03241,2019,74.78,162.2045135498047,18.020483016967773,9.0,14925418.0,65.35178068571408,44.86763110898455,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10425.039759437725,0.4465884732893528,-0.18706516613494417
03241,2020,82.52,182.1870880126953,17.794092178344727,6.0,14820319.0,65.35178068571408,44.86763110898455,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,10351.485585710605,0.7951854449605094,0.2049052882629665
03241,2021,84.76,215.19839477539065,17.34561538696289,0.0,13614266.0,65.35178068571408,44.86763110898455,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10135.476586454943,-0.25047139525293005,-0.005133255278637394
03251,2017,83.6,299.13555908203125,16.38619613647461,0.0,13546081.0,37.82531227909938,50.47574318137497,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10381.699333839628,-2.107643152288631,-0.545674990031986
03251,2019,62.66,200.8800048828125,17.70048713684082,8.0,14622417.0,37.82531227909938,50.47574318137497,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,8735.397049028721,0.43488586564620846,-0.20512308093003806
03251,2020,77.31,196.90516662597656,17.456342697143555,7.0,14363905.0,37.82531227909938,50.47574318137497,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9697.93202413096,0.7264235345225529,0.24162421058451966
03251,2021,81.42,232.9251708984375,17.229515075683594,0.0,13647034.0,37.82531227909938,50.47574318137497,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9736.084281136873,-0.2401135714868019,-0.0026470583561016836
03252,2017,86.76,385.9163513183594,16.067737579345703,0.0,13856238.0,168.64624754132518,59.42615305944366,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10774.117634018256,-2.1412931118322263,-0.586609738667074
03252,2019,83.27,171.5709228515625,17.332008361816406,7.0,15060255.0,168.64624754132518,59.42615305944366,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,11608.626113511356,0.39930808230815273,-0.11859484742478754
03252,2020,88.27,204.00271606445312,17.152217864990234,2.0,14911296.0,168.64624754132518,59.42615305944366,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,11072.77790415263,0.7157523615278478,0.18648346425656537
03252,2021,86.29,256.6800231933594,16.631359100341797,0.0,13753277.0,168.64624754132518,59.42615305944366,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10318.431744280286,-0.21919177659941624,0.026097192854473095
03254,2017,85.16,368.9799499511719,16.214969635009766,0.0,13908189.0,145.42201172754338,54.37337369926457,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10575.424823801228,-2.1825904198800004,-0.578809404816776
03254,2019,77.85,154.09266662597656,17.473949432373047,9.0,15154226.0,145.42201172754338,54.37337369926457,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10853.026815622181,0.4186246563276086,-0.11126640599902504
03254,2020,83.99,192.98333740234372,17.307262420654297,2.0,15060927.0,145.42201172754338,54.37337369926457,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,10535.885534947087,0.7806171716003973,0.1526361110178538
03254,2021,86.11,236.38265991210935,16.807876586914062,0.0,13757799.0,145.42201172754338,54.37337369926457,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10296.907608065538,-0.2559949861657742,0.00850520287490708
03255,2017,83.56,390.6533508300781,15.881038665771484,0.0,13801528.0,244.77205326208195,66.78746385962387,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10376.732013584202,-2.1321369253257103,-0.5861022538356072
03255,2019,80.49,167.8499755859375,17.0546875,5.0,15045382.0,244.77205326208195,66.78746385962387,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,11221.067802047904,0.40360824152884334,-0.13524217029987717
03255,2020,87.83,210.47555541992188,16.903654098510742,2.0,14912426.0,244.77205326208195,66.78746385962387,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,11017.583361524023,0.7220844637355981,0.19223476346989798
03255,2021,83.03,258.9322204589844,16.39651107788086,0.0,13659712.0,244.77205326208195,66.78746385962387,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9928.605721724323,-0.2878656414699208,0.03160758415018461
03256,2017,87.24,319.5533447265625,16.527929306030273,0.0,13588253.0,36.69954350209412,45.6912156632667,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10833.72547708336,-2.145154599379282,-0.5591395258500318
03256,2019,71.95,187.3683319091797,17.9518985748291,8.0,14683693.0,36.69954350209412,45.6912156632667,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10030.510974746514,0.4373125179207591,-0.20522471137422693
03256,2020,77.37,189.6300201416016,17.70244026184082,7.0,14507581.0,36.69954350209412,45.6912156632667,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9705.458552671225,0.7662620136100031,0.24657472194498564
03256,2021,83.89,219.55274963378903,17.355438232421875,0.0,13575263.0,36.69954350209412,45.6912156632667,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10031.443261417002,-0.24005334226984587,-0.003466531725550448
03257,2017,85.22,353.5579833984375,16.388586044311523,0.0,13805511.0,110.06650836686582,54.52129291862677,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10582.875804184367,-2.1148986680369717,-0.5638288573881396
03257,2019,75.62,173.10398864746094,17.79633140563965,8.0,14935939.0,110.06650836686582,54.52129291862677,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10542.143709664091,0.41773691820156955,-0.16499476190914308
03257,2020,85.25,190.47900390625,17.528894424438477,5.0,14762026.0,110.06650836686582,54.52129291862677,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,10693.942634292645,0.7706588447550757,0.2122620506455093
03257,2021,83.77,225.9070281982422,17.059003829956055,0.0,13753653.0,110.06650836686582,54.52129291862677,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10017.093837273836,-0.24300793729184988,0.005954573590722045
03351,2017,81.07,352.406494140625,16.381343841552734,0.0,13374660.0,63.23971096729696,45.982047716891806,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10067.516327683954,-2.206606896270557,-0.5658104834126453
03351,2019,65.67,175.64898681640625,17.828472137451172,9.0,14650579.0,63.23971096729696,45.982047716891806,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,9155.01953733987,0.5459417935238662,-0.2450786206126937
03351,2020,74.43,187.9750061035156,17.643022537231445,6.0,14570336.0,63.23971096729696,45.982047716891806,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9336.658654198258,0.813887038410769,0.20603229787876276
03351,2021,77.86,205.61199951171875,17.334487915039062,0.0,13209849.0,63.23971096729696,45.982047716891806,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9310.384698223002,-0.2899650878010789,-0.04380132341362364
03353,2017,77.59,321.01788330078125,16.032150268554688,0.0,13277800.0,47.83834153611925,52.692365997490334,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,9635.359465461923,-2.130206610769278,-0.5821302961434395
03353,2019,68.87,207.13262939453125,17.220142364501953,6.0,14438346.0,47.83834153611925,52.692365997490334,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,9601.129823916503,0.6105509255291963,-0.22547374768207507
03353,2020,76.9,181.6231689453125,17.138900756835938,7.0,14543343.0,47.83834153611925,52.692365997490334,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9646.500745772486,0.8575622071306839,0.21776202371340614
03353,2021,68.08,209.02528381347656,17.138036727905273,0.0,13448191.0,47.83834153611925,52.692365997490334,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,8140.906630555124,-0.2139035016904245,-0.05339161974806361
03354,2017,85.53,303.1737670898437,16.57176399230957,0.0,13473998.0,39.92315427805637,43.17562863257,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10621.372536163917,-2.250503783222996,-0.5598877167269198
03354,2019,73.64,193.9850006103516,17.788877487182617,9.0,14517991.0,39.92315427805637,43.17562863257,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10266.112969844798,0.6267374310515947,-0.2888955723169615
03354,2020,76.04,178.51564025878906,17.70780372619629,5.0,14583107.0,39.92315427805637,43.17562863257,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9538.620503362026,0.8564174984213082,0.2068651478096517
