year,district_no,mild_winter_days,fungal_risk_days,VegetationVigorIndex,RootZoneDepletion
2021,03157,25,2,-0.012799502306253402,0.05391650877764291
2022,03157,49,5,0.0967725877597347,0.11146376174169834
2023,03157,36,6,0.09331231716884039,0.12080942105962023
2024,03157,41,16,-0.0531059562355475,0.043416942112550164
1981,03158,12,0,,
1982,03158,15,1,,
1983,03158,28,2,,
1984,03158,23,0,,
1985,03158,11,0,,
1986,03158,10,0,,
1987,03158,9,0,,
1988,03158,37,2,,
1989,03158,35,3,,0.041393921683226184
1990,03158,47,5,,0.036252853167457855
1991,03158,21,3,,0.06343756023624106
1992,03158,35,2,,0.15236895864474337
1993,03158,26,5,,0.06928365640485849
1994,03158,33,1,,0.012814459260517523
1995,03158,33,5,,0.07549503870513723
1996,03158,5,0,,1.4517943016413752
1997,03158,28,4,,0.11287704638797363
1998,03158,41,4,,0.17959525288376219
1999,03158,33,2,,0.0832824785879328
2000,03158,30,2,,0.15333915118967703
2001,03158,24,4,0.2070264223113316,0.12643089894278822
2002,03158,38,9,0.030150725852111697,0.07271895095144357
2003,03158,16,0,-0.160649834972651,0.1648188815329135
2004,03158,25,3,-0.0546535316527923,0.1000972244745213
2005,03158,25,1,0.0374046442867298,0.11528382829803745
2006,03158,10,0,0.016144226255000997,0.23722184560275852
2007,03158,45,10,0.1857648856106636,0.07515886449847646
2008,03158,42,5,-0.029626984521018508,0.09139039888219834
2009,03158,13,0,-0.0448952851143542,0.1245924864212432
2010,03158,6,2,-0.19066692537379232,0.20663725365866029
2011,03158,21,2,-0.16909064390726522,0.09867298024779322
2012,03158,28,3,-0.0200914660982709,0.13526263374485598
2013,03158,18,1,-0.29524882834752403,0.21888607950993874
2014,03158,35,6,0.1334135833858013,0.0627498774659968
2015,03158,23,2,0.272188139603707,0.15944323561367427
2016,03158,29,5,0.0304305321428211,0.10191312280110391
2017,03158,19,2,0.0308145206483557,0.10441540593036101
2018,03158,23,2,0.19471456228344292,0.10969002660616875
2019,03158,32,1,0.11169943247579239,0.13857873629904932
2020,03158,48,10,0.1713420653511336,0.11412368721461187
2021,03158,21,0,-0.0008434697631955999,0.054348895658796643
2022,03158,47,4,0.0550425006015034,0.11830082604044265
2023,03158,35,6,0.082066340982529,0.12702485438272482
2024,03158,40,16,-0.0324086120400608,0.057377213411569504
1981,03241,13,0,,
1982,03241,19,1,,
1983,03241,31,3,,
1984,03241,22,0,,
1985,03241,9,0,,
1986,03241,10,0,,
1987,03241,12,0,,
1988,03241,39,3,,
1989,03241,40,2,,0.052276406562889816
1990,03241,49,5,,0.01893879896457086
1991,03241,21,3,,0.08473767037661104
1992,03241,32,1,,0.1873862353526938
1993,03241,25,5,,0.07055593266887986
1994,03241,33,3,,0.0033007657776604176
1995,03241,35,8,,0.0703545327943605
1996,03241,10,0,,2.8373536213468866
1997,03241,30,4,,0.07302589569565236
1998,03241,42,3,,0.11949099721313462
1999,03241,34,4,,0.07993586464273734
2000,03241,34,2,,0.16770799443760817
2001,03241,28,3,0.2423800431015935,0.12742450708235462
2002,03241,38,11,0.020798664162876304,0.0521194928433146
2003,03241,15,0,-0.11272615334300891,0.11850137126549629
2004,03241,27,5,-0.0698083226662273,0.1021637388550767
2005,03241,28,1,0.0557307921097872,0.11236824955984824
2006,03241,11,0,-0.020990910506266603,0.3381731735203813
2007,03241,43,10,0.1461326144292389,0.06752493468803479
2008,03241,42,6,-0.059358619344304794,0.06945729386133859
2009,03241,19,0,0.0178767611306498,0.13156136797413626
2010,03241,10,2,-0.2124782870191207,0.18229111799023692
2011,03241,25,3,-0.1583644915111322,0.10892019407870501
2012,03241,29,4,-0.0111022555630041,0.11816864257082682
2013,03241,20,2,-0.1234811849047773,0.1135808538098784
2014,03241,41,2,0.08578703555830541,0.06831076011203022
2015,03241,29,2,0.17690785174621831,0.18145082630098455
2016,03241,28,6,0.029626582660442297,0.057149687468344625
2017,03241,21,2,0.0473174875617694,0.10206176975945017
2018,03241,25,1,0.2146142992880632,0.08715409402315143
2019,03241,32,0,0.18545618926559793,0.0643460275232371
2020,03241,51,9,0.09627247415865961,0.08846047127598718
2021,03241,26,2,0.0165045718109362,0.033184550347594974
2022,03241,48,5,0.0927423216774099,0.1454021431327733
2023,03241,35,9,0.0740986358751923,0.09389507982759668
2024,03241,42,17,-0.14310059967889882,0.034857593616528154
1981,03251,17,0,,
1982,03251,19,1,,
1983,03251,31,3,,
1984,03251,24,0,,
1985,03251,8,0,,
1986,03251,11,0,,
1987,03251,12,0,,
1988,03251,41,3,,
1989,03251,40,2,,0.05212142288734485
1990,03251,49,6,,0.009738558343789208
1991,03251,21,2,,0.06636766510239446
1992,03251,32,2,,0.18340040277907207
1993,03251,28,7,,0.04039577341147918
1994,03251,30,3,,0.003281582773003075
1995,03251,34,7,,0.04498162378787175
1996,03251,9,0,,0.7062943381337542
1997,03251,29,3,,0.037594783179634106
1998,03251,44,3,,0.12037216712470626
1999,03251,33,2,,0.0491214406488007
2000,03251,37,1,,0.11168958337339753
2001,03251,29,4,0.177505360569565,0.07213238088774263
2002,03251,37,11,0.0476748087956362,0.042908509464275366
2003,03251,15,0,-0.0779629631544783,0.2208115668986075
2004,03251,29,4,-0.1174577239805001,0.08004424778761061
2005,03251,27,2,0.06911699696733789,0.10286444394986402
2006,03251,12,0,-0.0003785632081990016,0.18519260725768702
2007,03251,46,9,0.1203735972948889,0.053795020769127705
2008,03251,44,6,-0.052996313929624,0.05100497827550333
